id;artist;album
gPdD04_9A9A;rich brian;amen
tKHC0X2EwAs;justin timberlake;man of the woods
tMgNfu4-wgw;gucci mane;el gato: the human glacier
W3SopqFy2eg;portal;ion
J8qVaBy42Xg;ty segall;freedom's goblin
cTYg1mAd8tA;migos;culture ii
LxVfshdEKt4;kanye west;the life of pablo redux
FnjOReNf4Go;fall out boy;mania
KQXYdub4Af4;eden;vertigo
tN1PUSSybYA;tune;i can feel you creep into my private life
C0C-ZtZapNM;first aid kit;ruins
S9gg0JOTF2E;jpegmafia;veteran
iOec_uiEzJg;lil skies;life of a dark rose mixtape
_zZhWdRpDHk;yuno: december 2017 (ty dolla $ign, u2, godflesh, g;eazy)
p6T46TrMB80;king gizzard & the lizard wizard;gumboot soup
r98hKTgtKiU;cupcakke;ephorize
WY1cW0FZxm0;jeff rosenstock;
RUAXoNP9WiU;aphex twin;92
Z--fCH6D_xQ;ween;chocolate and cheese
-pbadnjeRhY;lauryn hill;the miseducation of lauryn hill
oKl3pPQ-IRc;michael jackson;thriller
6aq9epwmMKo;daft punk;discovery
SipouoqLyxM;charli xcx;pop 2 mixtape
LAEe4bj6cLA;n.e.r.d;no_one ever really dies
LxU-y-udwlA;travis scott & quavo;huncho jack, jack huncho
14Py6kcxKKQ;eminem;revival
-5qQvKlPYjo;chris stapleton;from a room, vol. 2
sL0YnMbzmow;brockhampton;saturation iii
h_k1muvplJU;big sean & metro boomin;double or nothing
E54_Y06Gyk0;quality control;control the streets, vol. 1 compilation
7KQyTYscOpk;princess nokia;1992 deluxe
aXHFPuiFjzA;makaya mccraven;highly rare
2WnDjpoMxjE;prurient;rainbow mirror
2P6KBsONYWo;noel gallagher's high flying birds;who built the moon?
XGboPnsVrU0;ibeyi;ash
dSDbbWaXI9U;glassjaw;material control
LSX82ylZhJ0;cyhi the prynce;no dope on sundays
M29NZ7rj7BA;gfoty;gfotybucks compilation
4EXtbijQOgY;rosalía;los ángeles
OKYedko0w8Y;hopsin;no shame
ikquXWiyaj8;björk;utopia
VaiMDDi8NJc;sharon jones & the dap;soul of a woman
JX54Kz7DaZQ;king gizzard & the lizard wizard;polygondwanaland
YABApZSuUIA;jaden smith;syre
Ghbw0DOaNHY;armand hammer;rome
tdcpjrCZMAc;liars;tfcf
vhlH7LmWlgE;destroyer;ken
JvQDSJk2QNE;yung lean;stranger
qDAxDcjgn-8;taylor swift;reputation
JLu1xs35rXM;benjamin clementine;i tell a fly
ZjByhSZLZEs;skepta;vicious ep
htvR_dBs3eg;sam smith;the thrill of it all
WLDhNDAOw8k;converge;the dusk in us
