url;id;title
/watch?v=fC94rzgHF3M&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=139;fC94rzgHF3M;YUNOREVIEW: November 2019 (Kai Whiston, Wiki, GFOTY, Blood Incantation)
/watch?v=VkMov0H8QRA&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=140;VkMov0H8QRA;Coldplay - Everyday Life ALBUM REVIEW
/watch?v=wsu8XzmeOYg&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=141;wsu8XzmeOYg;Have a Nice Life - Sea of Worry ALBUM REVIEW
/watch?v=rLCwc_nrimk&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=142;rLCwc_nrimk;Weekly Track Roundup: 11/24 (Rina Sawayama, Marilyn Manson, Bad Bunny, Ozzy Osbourne)
/watch?v=ckBbj-E0SdA&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=143;ckBbj-E0SdA;Madeon - Good Faith ALBUM REVIEW
/watch?v=ORXahmp1tLk&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=144;ORXahmp1tLk;2020 Grammy Awards Picks & Predictions!
/watch?v=NMsEzAg_E7o&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=145;NMsEzAg_E7o;Liturgy - H.A.Q.Q. ALBUM REVIEW
/watch?v=9aInNmFYxRM&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=146;9aInNmFYxRM;Mount Eerie with Julie Doiron - Lost Wisdom pt. 2 ALBUM REVIEW
/watch?v=VuWOK6_7GZU&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=147;VuWOK6_7GZU;Lil Peep - Everybody's Everything COMPILATION REVIEW
/watch?v=90KKkgAUaNM&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=148;90KKkgAUaNM;Weekly Track Roundup: 11/17 (Billie Eilish, Harry Styles, Grimes, Moses Sumney)
/watch?v=XQJ2o3Si9mU&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=149;XQJ2o3Si9mU;Doja Cat - Hot Pink ALBUM REVIEW
/watch?v=1J3s6wbc-S4&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=150;1J3s6wbc-S4;Matana Roberts - COIN COIN Chapter Four: Memphis ALBUM REVIEW
/watch?v=4pRxNcHyxKQ&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=151;4pRxNcHyxKQ;Michael Kiwanuka - Kiwanuka ALBUM REVIEW
/watch?v=auy8wEk7Fww&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=152;auy8wEk7Fww;FKA twigs - Magdalene ALBUM REVIEW
/watch?v=4tMn-cTP_wQ&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=153;4tMn-cTP_wQ;Westside Gunn - HWH7 MIXTAPE REVIEW
/watch?v=LFUkzI_suGY&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=154;LFUkzI_suGY;Weekly Track Roundup: 11/10 (FKA twigs, Beck, KSI, Poppy)
/watch?v=UtL5_lw0xtI&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=155;UtL5_lw0xtI;Gang Starr - One of the Best Yet ALBUM REVIEW
